fencer,action_id,start_frame,end_frame,expected,actual,coverage
RIGHT,306,94,101,8,8,100.0
LEFT,271,82,86,5,5,100.0
RIGHT,272,22,27,6,6,100.0
RIGHT,273,28,39,12,12,100.0
RIGHT,274,40,55,16,16,100.0
RIGHT,275,56,69,14,14,100.0
LEFT,241,53,58,6,6,100.0
RIGHT,242,25,28,4,4,100.0
RIGHT,243,29,38,10,10,100.0
RIGHT,244,39,56,18,18,100.0
LEFT,265,22,26,5,5,100.0
RIGHT,266,16,26,11,9,81.81818181818183
LEFT,252,19,25,7,7,100.0
LEFT,253,32,36,5,5,100.0
LEFT,254,50,84,35,35,100.0
LEFT,255,91,96,6,6,100.0
RIGHT,256,24,34,11,11,100.0
RIGHT,257,89,96,8,8,100.0
RIGHT,264,14,20,7,7,100.0
LEFT,267,24,28,5,5,100.0
RIGHT,268,21,28,8,8,100.0
RIGHT,291,21,26,6,6,100.0
RIGHT,292,27,38,12,12,100.0
RIGHT,293,39,53,15,15,100.0
LEFT,295,28,34,7,7,100.0
LEFT,296,52,74,23,23,100.0
LEFT,297,117,122,6,6,100.0
RIGHT,298,27,44,18,17,94.44444444444444
RIGHT,299,51,57,7,7,100.0
RIGHT,300,86,91,6,6,100.0
RIGHT,301,102,116,15,15,100.0
LEFT,285,16,22,7,7,100.0
LEFT,286,51,55,5,5,100.0
RIGHT,287,20,32,13,13,100.0
RIGHT,288,46,54,9,9,100.0
LEFT,283,15,20,6,6,100.0
RIGHT,284,16,22,7,6,85.71428571428571
LEFT,279,17,21,5,5,100.0
RIGHT,280,16,21,6,5,83.33333333333334
LEFT,269,15,22,8,8,100.0
RIGHT,270,13,20,8,8,100.0
LEFT,262,25,30,6,6,100.0
RIGHT,263,26,30,5,5,100.0
LEFT,316,28,35,8,7,87.5
RIGHT,317,24,34,11,9,81.81818181818183
RIGHT,240,14,22,9,9,100.0
RIGHT,276,12,18,7,7,100.0
LEFT,281,13,18,6,6,100.0
RIGHT,282,13,18,6,6,100.0
LEFT,277,26,32,7,7,100.0
RIGHT,278,27,33,7,7,100.0
LEFT,247,38,43,6,6,100.0
RIGHT,248,35,39,5,5,100.0
RIGHT,249,40,43,4,4,100.0
LEFT,245,18,23,6,6,100.0
RIGHT,246,19,25,7,7,100.0
LEFT,258,29,34,6,6,100.0
RIGHT,259,28,34,7,7,100.0
LEFT,307,18,25,8,8,100.0
LEFT,308,34,37,4,4,100.0
LEFT,309,52,74,23,23,100.0
LEFT,310,83,127,45,45,100.0
LEFT,311,128,132,5,5,100.0
LEFT,312,136,139,4,4,100.0
RIGHT,313,24,48,25,25,100.0
RIGHT,314,112,119,8,8,100.0
RIGHT,315,130,138,9,9,100.0
LEFT,260,20,25,6,6,100.0
RIGHT,261,13,20,8,8,100.0
LEFT,250,14,20,7,7,100.0
RIGHT,251,13,22,10,10,100.0
RIGHT,294,16,23,8,8,100.0
